species,lon,lat
Egernia cunninghami,150.8561,-31.89389
Egernia cunninghami,148.9010525,-35.19960367
Egernia cunninghami,146.3547,-30.00861
Egernia cunninghami,152.3867301,-31.24675716
Egernia cunninghami,149.5705542,-30.22143258
Egernia cunninghami,148.575,-37.45
Egernia cunninghami,145.8,-37.43
Egernia cunninghami,144.19,-36.06
Egernia cunninghami,145.6,-38.56
Egernia cunninghami,153.3876622,-28.59532056
Egernia cunninghami,152.9757778,-26.09089344
Egernia cunninghami,149.3887259,-36.79971165
Egernia cunninghami,152.7569653,-28.89622887
Egernia cunninghami,149.2527956,-30.6436623
Egernia cunninghami,152.6360405,-30.4441805
Egernia cunninghami,141.17,-37.47
Egernia cunninghami,145.47,-37.7
Egernia cunninghami,145.73,-36.51
Egernia cunninghami,143.05,-34.79167
Egernia cunninghami,148.3261,-35.01528
Egernia cunninghami,147.24,-37.42
Egernia cunninghami,152.9522489,-30.2062536
Egernia cunninghami,138.5333,-34.71667
Egernia cunninghami,150.1923037,-33.32809889
Egernia cunninghami,148.6164,-30.89861
Egernia cunninghami,145.91,-36.23
Egernia cunninghami,146.9819,-35.26111
Egernia cunninghami,138.5986,-33.90333
Egernia cunninghami,137.98288,-32.85065
Egernia cunninghami,149.5489546,-37.33619759
Egernia cunninghami,142.25,-37.5
Egernia cunninghami,145.22,-37.47
Egernia cunninghami,141.61,-36.85
Egernia cunninghami,146.17,-36.23
Egernia cunninghami,147.56,-32.32
Egernia cunninghami,138.84521,-34.5563
Egernia cunninghami,151.15,-33.29
Egernia cunninghami,149.5495502,-32.62699502
Egernia cunninghami,152.4802299,-26.18591096
Egernia cunninghami,140.80712,-34.63805
Egernia cunninghami,150.2438574,-34.28873097
Egernia cunninghami,150.75,-29.94
Egernia cunninghami,143.47829,-34.95435
Egernia cunninghami,152.033333,-27.033333
Egernia cunninghami,144.8786163,-37.56277847
Egernia cunninghami,150.433719,-35.12447746
Egernia cunninghami,150.1109497,-34.42718828
Egernia cunninghami,152.7022049,-29.88558276
Egernia cunninghami,153.0386047,-27.53194046
Egernia cunninghami,148.22,-37.75
Egernia cunninghami,144.7403,-36.13945
Egernia cunninghami,138.67387,-35.19179
Egernia cunninghami,142.34,-35.15
Egernia cunninghami,149.2636242,-34.12703717
Egernia cunninghami,150.0179645,-31.08377598
Egernia cunninghami,138.64552,-35.10343
Egernia cunninghami,144.76,-36.48
Egernia cunninghami,148.8348963,-33.4151447
Egernia cunninghami,143.37,-38.58
Egernia cunninghami,152.5796279,-31.31307342
Egernia cunninghami,142.1942,-37.24889
Egernia cunninghami,142.47,-37.68
Egernia cunninghami,150.2215711,-35.47463561
